gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_score,avg_score,risk_level,performance_band,recommendation,overall_rank,gender_rank,math_rank,performance_cluster
male,group E,associate's degree,standard,completed,81,81,79,241,80.33333333333333,Top Performer,Good,Excellent student - can mentor others,187,73,155,High Achiever
female,group D,associate's degree,standard,none,74,81,83,238,79.33333333333333,Low Risk,Good,Stable performance,207,123,296,Average Student
female,group D,some high school,free/reduced,none,50,64,59,173,57.666666666666664,Moderate Risk,Average,Needs improvement with guidance,756,415,851,Needs Improvement
female,group D,associate's degree,free/reduced,completed,75,90,88,253,84.33333333333333,Top Performer,Good,Excellent student - can mentor others,121,80,275,High Achiever
male,group B,associate's degree,free/reduced,none,57,56,57,170,56.666666666666664,Moderate Risk,Average,Needs improvement with guidance,776,355,735,Needs Improvement
male,group C,associate's degree,free/reduced,none,55,61,54,170,56.666666666666664,Moderate Risk,Average,Needs improvement with guidance,776,355,762,Needs Improvement
female,group C,associate's degree,standard,none,58,73,68,199,66.33333333333333,Low Risk,Average,Stable performance,557,318,710,Average Student
female,group B,associate's degree,standard,none,53,58,65,176,58.666666666666664,Moderate Risk,Average,Needs improvement with guidance,736,406,798,Needs Improvement
male,group B,some college,free/reduced,completed,59,65,66,190,63.333333333333336,Moderate Risk,Average,Needs improvement with guidance,641,281,678,Average Student
female,group E,associate's degree,free/reduced,none,50,56,54,160,53.333333333333336,Moderate Risk,Average,Needs improvement with guidance,837,451,851,Needs Improvement
male,group B,associate's degree,standard,none,65,54,57,176,58.666666666666664,Moderate Risk,Average,Needs improvement with guidance,736,331,518,Needs Improvement
female,group A,associate's degree,standard,completed,55,65,62,182,60.666666666666664,Moderate Risk,Average,Needs improvement with guidance,693,387,762,Average Student
female,group C,high school,standard,none,66,71,76,213,71.0,Low Risk,Good,Stable performance,424,250,494,Average Student
female,group D,associate's degree,free/reduced,completed,57,74,76,207,69.0,Low Risk,Average,Stable performance,475,276,735,Average Student
male,group C,high school,standard,completed,82,84,82,248,82.66666666666667,Top Performer,Good,Excellent student - can mentor others,149,53,137,High Achiever
male,group E,some college,standard,none,53,55,48,156,52.0,Moderate Risk,Average,Needs improvement with guidance,855,395,798,Needs Improvement
male,group E,associate's degree,free/reduced,completed,77,69,68,214,71.33333333333333,Low Risk,Good,Stable performance,412,169,230,Average Student
male,group C,some college,standard,none,53,44,42,139,46.333333333333336,High Risk,Poor,Needs immediate academic support,934,446,798,Needs Improvement
male,group D,high school,standard,none,88,78,75,241,80.33333333333333,Top Performer,Good,Excellent student - can mentor others,187,73,65,High Achiever
female,group C,some high school,free/reduced,completed,71,84,87,242,80.66666666666667,Top Performer,Good,Excellent student - can mentor others,180,111,366,High Achiever
female,group C,high school,free/reduced,none,33,41,43,117,39.0,High Risk,Poor,Needs immediate academic support,975,503,981,Needs Improvement
female,group E,associate's degree,standard,completed,82,85,86,253,84.33333333333333,Top Performer,Good,Excellent student - can mentor others,121,80,137,High Achiever
male,group D,associate's degree,standard,none,52,55,49,156,52.0,Moderate Risk,Average,Needs improvement with guidance,855,395,822,Needs Improvement
male,group D,some college,standard,completed,58,59,58,175,58.333333333333336,Moderate Risk,Average,Needs improvement with guidance,745,335,710,Needs Improvement
female,group C,some high school,free/reduced,none,0,17,10,27,9.0,High Risk,Poor,Needs immediate academic support,1000,518,1000,Needs Improvement
male,group E,bachelor's degree,free/reduced,completed,79,74,72,225,75.0,Low Risk,Good,Stable performance,314,130,194,Average Student
male,group A,some high school,free/reduced,none,39,39,34,112,37.333333333333336,High Risk,Poor,Needs immediate academic support,982,476,961,Needs Improvement
male,group A,associate's degree,free/reduced,none,62,61,55,178,59.333333333333336,Moderate Risk,Average,Needs improvement with guidance,721,322,600,Needs Improvement
female,group C,associate's degree,standard,none,69,80,71,220,73.33333333333333,Low Risk,Good,Stable performance,356,212,410,Average Student
female,group D,some high school,standard,none,59,58,59,176,58.666666666666664,Moderate Risk,Average,Needs improvement with guidance,736,406,678,Needs Improvement
male,group B,some high school,standard,none,67,64,61,192,64.0,Moderate Risk,Average,Needs improvement with guidance,623,272,468,Average Student
male,group D,some high school,free/reduced,none,45,37,37,119,39.666666666666664,High Risk,Poor,Needs immediate academic support,971,469,916,Needs Improvement
female,group C,some college,standard,none,60,72,74,206,68.66666666666667,Low Risk,Average,Stable performance,487,283,662,Average Student
male,group B,associate's degree,free/reduced,none,61,58,56,175,58.333333333333336,Moderate Risk,Average,Needs improvement with guidance,745,335,635,Needs Improvement
female,group C,associate's degree,standard,none,39,64,57,160,53.333333333333336,Moderate Risk,Average,Needs improvement with guidance,837,451,961,Needs Improvement
female,group D,some college,free/reduced,completed,58,63,73,194,64.66666666666667,Moderate Risk,Average,Needs improvement with guidance,602,341,710,Average Student
male,group D,some college,standard,completed,63,55,63,181,60.333333333333336,Moderate Risk,Average,Needs improvement with guidance,700,311,574,Average Student
female,group A,associate's degree,free/reduced,none,41,51,48,140,46.666666666666664,High Risk,Poor,Needs immediate academic support,930,488,945,Needs Improvement
male,group C,some high school,free/reduced,none,61,57,56,174,58.0,Moderate Risk,Average,Needs improvement with guidance,754,340,635,Needs Improvement
male,group C,some high school,standard,none,49,49,41,139,46.333333333333336,High Risk,Poor,Needs immediate academic support,934,446,866,Needs Improvement
male,group B,associate's degree,free/reduced,none,44,41,38,123,41.0,High Risk,Poor,Needs immediate academic support,965,466,925,Needs Improvement
male,group E,some high school,standard,none,30,26,22,78,26.0,High Risk,Poor,Needs immediate academic support,995,480,985,Needs Improvement
male,group A,bachelor's degree,standard,completed,80,78,81,239,79.66666666666667,Low Risk,Good,Stable performance,199,81,177,Average Student
female,group D,some high school,standard,completed,61,74,72,207,69.0,Low Risk,Average,Stable performance,475,276,635,Average Student
female,group E,master's degree,standard,none,62,68,68,198,66.0,Low Risk,Average,Stable performance,562,320,600,Average Student
female,group B,associate's degree,standard,none,47,49,50,146,48.666666666666664,High Risk,Poor,Needs immediate academic support,911,485,894,Needs Improvement
male,group B,high school,free/reduced,none,49,45,45,139,46.333333333333336,High Risk,Poor,Needs immediate academic support,934,446,866,Needs Improvement
male,group A,some college,free/reduced,completed,50,47,54,151,50.333333333333336,Moderate Risk,Average,Needs improvement with guidance,884,412,851,Needs Improvement
male,group E,associate's degree,standard,none,72,64,63,199,66.33333333333333,Low Risk,Average,Stable performance,557,240,348,Average Student
male,group D,high school,free/reduced,none,42,39,34,115,38.333333333333336,High Risk,Poor,Needs immediate academic support,978,474,939,Needs Improvement
female,group C,some college,standard,none,73,80,82,235,78.33333333333333,Low Risk,Good,Stable performance,231,136,321,Average Student
female,group C,some college,free/reduced,none,76,83,88,247,82.33333333333333,Top Performer,Good,Excellent student - can mentor others,155,101,254,High Achiever
female,group D,associate's degree,standard,none,71,71,74,216,72.0,Low Risk,Good,Stable performance,395,235,366,Average Student
female,group A,some college,standard,none,58,70,67,195,65.0,Low Risk,Average,Stable performance,593,336,710,Average Student
female,group D,some high school,standard,none,73,86,82,241,80.33333333333333,Top Performer,Good,Excellent student - can mentor others,187,115,321,High Achiever
female,group C,bachelor's degree,standard,none,65,72,74,211,70.33333333333333,Low Risk,Good,Stable performance,440,258,518,Average Student
male,group C,high school,free/reduced,none,27,34,36,97,32.333333333333336,High Risk,Poor,Needs immediate academic support,986,477,991,Needs Improvement
male,group C,high school,standard,none,71,79,71,221,73.66666666666667,Low Risk,Good,Stable performance,351,143,366,Average Student
male,group C,associate's degree,free/reduced,completed,43,45,50,138,46.0,High Risk,Poor,Needs immediate academic support,939,451,934,Needs Improvement
female,group B,some college,standard,none,79,86,92,257,85.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,103,69,194,High Achiever
male,group C,associate's degree,free/reduced,completed,78,81,82,241,80.33333333333333,Top Performer,Good,Excellent student - can mentor others,187,73,216,High Achiever
male,group B,some high school,standard,completed,65,66,62,193,64.33333333333333,Moderate Risk,Average,Needs improvement with guidance,613,266,518,Average Student
female,group E,some college,standard,completed,63,72,70,205,68.33333333333333,Low Risk,Average,Stable performance,499,289,574,Average Student
female,group D,some college,free/reduced,none,58,67,62,187,62.333333333333336,Moderate Risk,Average,Needs improvement with guidance,657,369,710,Average Student
female,group D,bachelor's degree,standard,none,65,67,62,194,64.66666666666667,Moderate Risk,Average,Needs improvement with guidance,602,341,518,Average Student
male,group B,some college,standard,none,79,67,67,213,71.0,Low Risk,Good,Stable performance,424,175,194,Average Student
male,group D,bachelor's degree,standard,completed,68,74,74,216,72.0,Low Risk,Good,Stable performance,395,161,442,Average Student
female,group D,associate's degree,standard,none,85,91,89,265,88.33333333333333,Top Performer,Excellent,Excellent student - can mentor others,69,49,104,High Achiever
male,group B,high school,standard,completed,60,44,47,151,50.333333333333336,Moderate Risk,Average,Needs improvement with guidance,884,412,662,Needs Improvement
male,group C,some college,standard,completed,98,86,90,274,91.33333333333333,Top Performer,Excellent,Excellent student - can mentor others,43,13,11,High Achiever
female,group C,some college,standard,none,58,67,72,197,65.66666666666667,Low Risk,Average,Stable performance,576,328,710,Average Student
female,group D,master's degree,standard,none,87,100,100,287,95.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,21,18,80,High Achiever
male,group E,associate's degree,standard,completed,66,63,64,193,64.33333333333333,Moderate Risk,Average,Needs improvement with guidance,613,266,494,Average Student
female,group B,associate's degree,free/reduced,none,52,76,70,198,66.0,Low Risk,Average,Stable performance,562,320,822,Average Student
female,group B,some high school,standard,none,70,64,72,206,68.66666666666667,Low Risk,Average,Stable performance,487,283,392,Average Student
female,group D,associate's degree,free/reduced,completed,77,89,98,264,88.0,Top Performer,Excellent,Excellent student - can mentor others,74,53,230,High Achiever
male,group C,high school,standard,none,62,55,49,166,55.333333333333336,Moderate Risk,Average,Needs improvement with guidance,803,368,600,Needs Improvement
male,group A,associate's degree,standard,none,54,53,47,154,51.333333333333336,Moderate Risk,Average,Needs improvement with guidance,870,403,780,Needs Improvement
female,group D,some college,standard,none,51,58,54,163,54.333333333333336,Moderate Risk,Average,Needs improvement with guidance,819,441,840,Needs Improvement
female,group E,bachelor's degree,standard,completed,99,100,100,299,99.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,4,3,8,High Achiever
male,group C,high school,standard,none,84,77,74,235,78.33333333333333,Low Risk,Good,Stable performance,231,96,118,Average Student
female,group B,bachelor's degree,free/reduced,none,75,85,82,242,80.66666666666667,Top Performer,Good,Excellent student - can mentor others,180,111,275,High Achiever
female,group D,bachelor's degree,standard,none,78,82,79,239,79.66666666666667,Low Risk,Good,Stable performance,199,119,216,Average Student
female,group D,some high school,standard,none,51,63,61,175,58.333333333333336,Moderate Risk,Average,Needs improvement with guidance,745,411,840,Needs Improvement
female,group C,some college,standard,none,55,69,65,189,63.0,Moderate Risk,Average,Needs improvement with guidance,646,364,762,Average Student
female,group C,bachelor's degree,standard,completed,79,92,89,260,86.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,89,62,194,High Achiever
male,group B,associate's degree,standard,completed,91,89,92,272,90.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,47,14,42,High Achiever
female,group C,some college,standard,completed,88,93,93,274,91.33333333333333,Top Performer,Excellent,Excellent student - can mentor others,43,31,65,High Achiever
male,group D,high school,free/reduced,none,63,57,56,176,58.666666666666664,Moderate Risk,Average,Needs improvement with guidance,736,331,574,Needs Improvement
male,group E,some college,standard,none,83,80,73,236,78.66666666666667,Low Risk,Good,Stable performance,222,93,129,Average Student
female,group B,high school,standard,none,87,95,86,268,89.33333333333333,Top Performer,Excellent,Excellent student - can mentor others,55,41,80,High Achiever
male,group B,some high school,standard,none,72,68,67,207,69.0,Low Risk,Average,Stable performance,475,200,348,Average Student
male,group D,some college,standard,completed,65,77,74,216,72.0,Low Risk,Good,Stable performance,395,161,518,Average Student
male,group D,master's degree,standard,none,82,82,74,238,79.33333333333333,Low Risk,Good,Stable performance,207,85,137,Average Student
female,group A,bachelor's degree,standard,none,51,49,51,151,50.333333333333336,Moderate Risk,Average,Needs improvement with guidance,884,473,840,Needs Improvement
male,group D,master's degree,standard,none,89,84,82,255,85.0,Top Performer,Excellent,Excellent student - can mentor others,113,38,59,High Achiever
male,group C,some high school,free/reduced,completed,53,37,40,130,43.333333333333336,High Risk,Poor,Needs immediate academic support,956,462,798,Needs Improvement
male,group E,some college,free/reduced,completed,87,74,70,231,77.0,Low Risk,Good,Stable performance,269,113,80,Average Student
female,group C,some college,standard,completed,75,81,84,240,80.0,Top Performer,Good,Excellent student - can mentor others,195,116,275,High Achiever
male,group D,bachelor's degree,free/reduced,completed,74,79,75,228,76.0,Low Risk,Good,Stable performance,288,122,296,Average Student
male,group C,bachelor's degree,standard,none,58,55,48,161,53.666666666666664,Moderate Risk,Average,Needs improvement with guidance,830,384,710,Needs Improvement
male,group B,some high school,standard,completed,51,54,41,146,48.666666666666664,High Risk,Poor,Needs immediate academic support,911,427,840,Needs Improvement
male,group E,high school,standard,none,70,55,56,181,60.333333333333336,Moderate Risk,Average,Needs improvement with guidance,700,311,392,Average Student
female,group C,associate's degree,standard,none,59,66,67,192,64.0,Moderate Risk,Average,Needs improvement with guidance,623,352,678,Average Student
male,group D,some college,standard,completed,71,61,69,201,67.0,Low Risk,Average,Stable performance,540,234,366,Average Student
female,group D,some high school,standard,none,76,72,71,219,73.0,Low Risk,Good,Stable performance,367,216,254,Average Student
female,group C,some college,free/reduced,none,59,62,64,185,61.666666666666664,Moderate Risk,Average,Needs improvement with guidance,671,378,678,Average Student
female,group E,some college,free/reduced,completed,42,55,54,151,50.333333333333336,Moderate Risk,Average,Needs improvement with guidance,884,473,939,Needs Improvement
male,group A,high school,standard,none,57,43,47,147,49.0,High Risk,Poor,Needs immediate academic support,905,423,735,Needs Improvement
male,group D,some college,standard,none,88,73,78,239,79.66666666666667,Low Risk,Good,Stable performance,199,81,65,Average Student
female,group C,some college,free/reduced,none,22,39,33,94,31.333333333333332,High Risk,Poor,Needs immediate academic support,988,511,996,Needs Improvement
male,group B,some high school,standard,none,88,84,75,247,82.33333333333333,Top Performer,Good,Excellent student - can mentor others,155,55,65,High Achiever
male,group C,associate's degree,free/reduced,none,73,68,66,207,69.0,Low Risk,Average,Stable performance,475,200,321,Average Student
female,group D,bachelor's degree,standard,completed,68,75,81,224,74.66666666666667,Low Risk,Good,Stable performance,325,191,442,Average Student
male,group E,associate's degree,free/reduced,completed,100,100,93,293,97.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,9,3,1,High Achiever
male,group A,some high school,standard,completed,62,67,69,198,66.0,Low Risk,Average,Stable performance,562,243,600,Average Student
male,group A,bachelor's degree,standard,none,77,67,68,212,70.66666666666667,Low Risk,Good,Stable performance,435,180,230,Average Student
female,group B,associate's degree,standard,completed,59,70,66,195,65.0,Low Risk,Average,Stable performance,593,336,678,Average Student
male,group D,bachelor's degree,standard,none,54,49,47,150,50.0,Moderate Risk,Average,Needs improvement with guidance,892,418,780,Needs Improvement
male,group D,some high school,standard,none,62,67,61,190,63.333333333333336,Moderate Risk,Average,Needs improvement with guidance,641,281,600,Average Student
female,group C,some college,standard,completed,70,89,88,247,82.33333333333333,Top Performer,Good,Excellent student - can mentor others,155,101,392,High Achiever
female,group E,high school,free/reduced,completed,66,74,78,218,72.66666666666667,Low Risk,Good,Stable performance,379,222,494,Average Student
male,group B,some college,free/reduced,none,60,60,60,180,60.0,Moderate Risk,Average,Needs improvement with guidance,708,318,662,Average Student
female,group B,associate's degree,standard,completed,61,86,87,234,78.0,Low Risk,Good,Stable performance,240,143,635,Average Student
male,group D,associate's degree,free/reduced,none,66,62,64,192,64.0,Moderate Risk,Average,Needs improvement with guidance,623,272,494,Average Student
male,group B,associate's degree,free/reduced,completed,82,78,74,234,78.0,Low Risk,Good,Stable performance,240,98,137,Average Student
female,group E,some college,free/reduced,completed,75,88,85,248,82.66666666666667,Top Performer,Good,Excellent student - can mentor others,149,97,275,High Achiever
male,group B,master's degree,free/reduced,none,49,53,52,154,51.333333333333336,Moderate Risk,Average,Needs improvement with guidance,870,403,866,Needs Improvement
male,group C,high school,standard,none,52,53,49,154,51.333333333333336,Moderate Risk,Average,Needs improvement with guidance,870,403,822,Needs Improvement
female,group E,master's degree,standard,none,81,92,91,264,88.0,Top Performer,Excellent,Excellent student - can mentor others,74,53,155,High Achiever
female,group C,bachelor's degree,standard,completed,96,100,100,296,98.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,7,6,20,High Achiever
male,group C,high school,free/reduced,completed,53,51,51,155,51.666666666666664,Moderate Risk,Average,Needs improvement with guidance,860,398,798,Needs Improvement
female,group B,master's degree,free/reduced,completed,58,76,78,212,70.66666666666667,Low Risk,Good,Stable performance,435,256,710,Average Student
female,group B,high school,standard,completed,68,83,78,229,76.33333333333333,Low Risk,Good,Stable performance,282,164,442,Average Student
female,group C,some college,free/reduced,completed,67,75,70,212,70.66666666666667,Low Risk,Good,Stable performance,435,256,468,Average Student
male,group A,high school,standard,completed,72,73,74,219,73.0,Low Risk,Good,Stable performance,367,152,348,Average Student
male,group E,some high school,standard,none,94,88,78,260,86.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,89,28,25,High Achiever
female,group D,some college,standard,none,79,86,81,246,82.0,Top Performer,Good,Excellent student - can mentor others,166,107,194,High Achiever
female,group C,associate's degree,standard,none,63,67,70,200,66.66666666666667,Low Risk,Average,Stable performance,549,311,574,Average Student
female,group C,bachelor's degree,free/reduced,completed,43,51,54,148,49.333333333333336,High Risk,Poor,Needs immediate academic support,901,481,934,Needs Improvement
female,group C,master's degree,standard,completed,81,91,87,259,86.33333333333333,Top Performer,Excellent,Excellent student - can mentor others,93,64,155,High Achiever
female,group B,high school,free/reduced,completed,46,54,58,158,52.666666666666664,Moderate Risk,Average,Needs improvement with guidance,843,455,905,Needs Improvement
female,group C,associate's degree,standard,completed,71,77,77,225,75.0,Low Risk,Good,Stable performance,314,185,366,Average Student
female,group B,master's degree,free/reduced,completed,52,70,62,184,61.333333333333336,Moderate Risk,Average,Needs improvement with guidance,678,381,822,Average Student
female,group D,some high school,standard,completed,97,100,100,297,99.0,Top Performer,Excellent,Excellent student - can mentor others,5,4,14,High Achiever
male,group C,master's degree,free/reduced,completed,62,68,75,205,68.33333333333333,Low Risk,Average,Stable performance,499,211,600,Average Student
female,group C,some college,free/reduced,none,46,64,66,176,58.666666666666664,Moderate Risk,Average,Needs improvement with guidance,736,406,905,Needs Improvement
female,group E,high school,standard,none,50,50,47,147,49.0,High Risk,Poor,Needs immediate academic support,905,483,851,Needs Improvement
female,group D,associate's degree,standard,none,65,69,70,204,68.0,Low Risk,Average,Stable performance,512,293,518,Average Student
male,group C,some high school,free/reduced,completed,45,52,49,146,48.666666666666664,High Risk,Poor,Needs immediate academic support,911,427,916,Needs Improvement
male,group C,associate's degree,free/reduced,completed,65,67,65,197,65.66666666666667,Low Risk,Average,Stable performance,576,249,518,Average Student
male,group E,high school,standard,none,80,76,65,221,73.66666666666667,Low Risk,Good,Stable performance,351,143,177,Average Student
male,group D,some high school,standard,completed,62,66,68,196,65.33333333333333,Low Risk,Average,Stable performance,584,253,600,Average Student
male,group B,some high school,free/reduced,none,48,52,45,145,48.333333333333336,High Risk,Poor,Needs immediate academic support,915,430,883,Needs Improvement
female,group C,bachelor's degree,standard,none,77,88,87,252,84.0,Top Performer,Good,Excellent student - can mentor others,123,82,230,High Achiever
female,group E,associate's degree,standard,none,66,65,69,200,66.66666666666667,Low Risk,Average,Stable performance,549,311,494,Average Student
male,group D,some college,standard,completed,76,83,79,238,79.33333333333333,Low Risk,Good,Stable performance,207,85,254,Average Student
female,group B,some high school,standard,none,62,64,66,192,64.0,Moderate Risk,Average,Needs improvement with guidance,623,352,600,Average Student
male,group D,some college,standard,completed,77,62,62,201,67.0,Low Risk,Average,Stable performance,540,234,230,Average Student
female,group C,master's degree,standard,completed,69,84,85,238,79.33333333333333,Low Risk,Good,Stable performance,207,123,410,Average Student
male,group D,associate's degree,standard,none,61,55,52,168,56.0,Moderate Risk,Average,Needs improvement with guidance,786,359,635,Needs Improvement
male,group C,some high school,free/reduced,completed,59,69,65,193,64.33333333333333,Moderate Risk,Average,Needs improvement with guidance,613,266,678,Average Student
male,group E,high school,free/reduced,none,55,56,51,162,54.0,Moderate Risk,Average,Needs improvement with guidance,824,381,762,Needs Improvement
female,group B,some college,free/reduced,none,45,53,55,153,51.0,Moderate Risk,Average,Needs improvement with guidance,876,470,916,Needs Improvement
female,group B,bachelor's degree,free/reduced,none,78,79,76,233,77.66666666666667,Low Risk,Good,Stable performance,250,146,216,Average Student
female,group C,associate's degree,standard,completed,67,84,86,237,79.0,Low Risk,Good,Stable performance,215,127,468,Average Student
female,group D,some college,free/reduced,none,65,81,77,223,74.33333333333333,Low Risk,Good,Stable performance,333,196,518,Average Student
male,group C,associate's degree,standard,none,69,77,69,215,71.66666666666667,Low Risk,Good,Stable performance,404,164,410,Average Student
female,group B,associate's degree,standard,none,57,69,68,194,64.66666666666667,Moderate Risk,Average,Needs improvement with guidance,602,341,735,Average Student
male,group C,some college,standard,none,59,41,42,142,47.333333333333336,High Risk,Poor,Needs immediate academic support,927,440,678,Needs Improvement
male,group D,some high school,standard,completed,74,71,78,223,74.33333333333333,Low Risk,Good,Stable performance,333,138,296,Average Student
male,group E,bachelor's degree,standard,none,82,62,62,206,68.66666666666667,Low Risk,Average,Stable performance,487,205,137,Average Student
male,group E,high school,standard,completed,81,80,76,237,79.0,Low Risk,Good,Stable performance,215,89,155,Average Student
female,group B,some college,free/reduced,none,74,81,76,231,77.0,Low Risk,Good,Stable performance,269,157,296,Average Student
female,group B,some college,free/reduced,none,58,61,66,185,61.666666666666664,Moderate Risk,Average,Needs improvement with guidance,671,378,710,Average Student
male,group D,some high school,free/reduced,completed,80,79,79,238,79.33333333333333,Low Risk,Good,Stable performance,207,85,177,Average Student
male,group C,some college,free/reduced,none,35,28,27,90,30.0,High Risk,Poor,Needs immediate academic support,991,479,974,Needs Improvement
female,group C,high school,free/reduced,none,42,62,60,164,54.666666666666664,Moderate Risk,Average,Needs improvement with guidance,810,439,939,Needs Improvement
male,group C,associate's degree,free/reduced,completed,60,51,56,167,55.666666666666664,Moderate Risk,Average,Needs improvement with guidance,796,364,662,Needs Improvement
male,group E,high school,standard,completed,87,91,81,259,86.33333333333333,Top Performer,Excellent,Excellent student - can mentor others,93,30,80,High Achiever
male,group B,some high school,standard,completed,84,83,75,242,80.66666666666667,Top Performer,Good,Excellent student - can mentor others,180,70,118,High Achiever
female,group E,associate's degree,free/reduced,completed,83,86,88,257,85.66666666666667,Top Performer,Excellent,Excellent student - can mentor others,103,69,129,High Achiever
female,group C,high school,free/reduced,none,34,42,39,115,38.333333333333336,High Risk,Poor,Needs immediate academic support,978,505,979,Needs Improvement
male,group B,high school,free/reduced,none,66,77,70,213,71.0,Low Risk,Good,Stable performance,424,175,494,Average Student
male,group B,some high school,standard,completed,61,56,56,173,57.666666666666664,Moderate Risk,Average,Needs improvement with guidance,756,342,635,Needs Improvement
female,group D,high school,standard,completed,56,68,74,198,66.0,Low Risk,Average,Stable performance,562,320,753,Average Student
male,group B,associate's degree,standard,none,87,85,73,245,81.66666666666667,Top Performer,Good,Excellent student - can mentor others,169,61,80,High Achiever
female,group C,some high school,free/reduced,none,55,65,62,182,60.666666666666664,Moderate Risk,Average,Needs improvement with guidance,693,387,762,Average Student
